Seed,Model,Dataset,Accuracy,AUC
2460,GradientBoosting,Training,0.8625,0.9571875
2460,GradientBoosting,Test,0.5681818181818182,0.5010416666666666
2460,SVC,Training,0.6625,0.634375
2460,SVC,Test,0.75,0.6833333333333332
2460,MLPClassifier,Training,0.625,0.743125
2460,MLPClassifier,Test,0.6363636363636364,0.7583333333333334
8124,LogisticRegression,Training,0.725,0.801875
8124,LogisticRegression,Test,0.4857142857142857,0.6611842105263158
8124,RandomForest,Training,0.9125,0.9737499999999999
8124,RandomForest,Test,0.5428571428571428,0.5279605263157895
8124,GradientBoosting,Training,0.8125,0.8615625
8124,GradientBoosting,Test,0.5714285714285714,0.6167763157894737
8124,SVC,Training,0.725,0.703125
8124,SVC,Test,0.6571428571428571,0.631578947368421
8124,MLPClassifier,Training,0.775,0.848125
8124,MLPClassifier,Test,0.5142857142857142,0.493421052631579
2500,LogisticRegression,Training,0.625,0.7212500000000001
2500,LogisticRegression,Test,0.6976744186046512,0.8148148148148148
2500,RandomForest,Training,0.8125,0.9087500000000001
2500,RandomForest,Test,0.6511627906976745,0.75
2500,GradientBoosting,Training,0.7,0.8106249999999999
2500,GradientBoosting,Test,0.5813953488372093,0.7152777777777777
2500,SVC,Training,0.6875,0.7387500000000001
2500,SVC,Test,0.6744186046511628,0.741898148148148
2500,MLPClassifier,Training,0.6375,0.720625
2500,MLPClassifier,Test,0.6976744186046512,0.8148148148148148
4644,LogisticRegression,Training,0.75,0.8075000000000001
4644,LogisticRegression,Test,0.6,0.6477732793522267
4644,RandomForest,Training,0.825,0.9181249999999999
4644,RandomForest,Test,0.5555555555555556,0.6639676113360324
4644,GradientBoosting,Training,0.775,0.8609375
4644,GradientBoosting,Test,0.6222222222222222,0.652834008097166
4644,SVC,Training,0.7375,0.795625
4644,SVC,Test,0.6222222222222222,0.631578947368421
4644,MLPClassifier,Training,0.7375,0.813125
4644,MLPClassifier,Test,0.6222222222222222,0.6376518218623481
2675,LogisticRegression,Training,0.725,0.785
2675,LogisticRegression,Test,0.625,0.6521739130434783
2675,RandomForest,Training,0.8,0.934375
2675,RandomForest,Test,0.6,0.6035805626598465
2675,GradientBoosting,Training,0.7625,0.8640625
2675,GradientBoosting,Test,0.575,0.6265984654731458
2675,SVC,Training,0.725,0.7843749999999999
2675,SVC,Test,0.6,0.639386189258312
2675,MLPClassifier,Training,0.7375,0.786875
2675,MLPClassifier,Test,0.6,0.6572890025575446
4569,LogisticRegression,Training,0.75,0.7831250000000001
