Seed,Model,Dataset,Accuracy,AUC
6428,RandomForest,Test,0.6153846153846154,0.6056149732620322
6428,GradientBoosting,Training,0.9125,0.9715625
6428,GradientBoosting,Test,0.6153846153846154,0.6122994652406417
6428,SVC,Training,0.725,0.63375
6428,SVC,Test,0.5128205128205128,0.3288770053475935
6428,MLPClassifier,Training,0.725,0.8175
6428,MLPClassifier,Test,0.5641025641025641,0.6470588235294118
8343,LogisticRegression,Training,0.6875,0.78125
8343,LogisticRegression,Test,0.6944444444444444,0.7523809523809524
8343,RandomForest,Training,0.8625,0.9596874999999999
8343,RandomForest,Test,0.6388888888888888,0.6349206349206349
8343,GradientBoosting,Training,0.7375,0.8496874999999999
8343,GradientBoosting,Test,0.6666666666666666,0.6936507936507936
8343,SVC,Training,0.7,0.5
8343,SVC,Test,0.6666666666666666,0.5
8343,MLPClassifier,Training,0.725,0.78125
8343,MLPClassifier,Test,0.6944444444444444,0.7492063492063492
6507,LogisticRegression,Training,0.675,0.7550000000000001
6507,LogisticRegression,Test,0.7111111111111111,0.7155555555555555
6507,RandomForest,Training,1.0,1.0
6507,RandomForest,Test,0.7111111111111111,0.7266666666666667
6507,GradientBoosting,Training,1.0,1.0
6507,GradientBoosting,Test,0.7333333333333333,0.7
6507,SVC,Training,0.675,0.24218749999999997
6507,SVC,Test,0.7111111111111111,0.28222222222222226
6507,MLPClassifier,Training,0.7,0.75625
6507,MLPClassifier,Test,0.7333333333333333,0.7155555555555555
2948,LogisticRegression,Training,0.7,0.7225
2948,LogisticRegression,Test,0.6744186046511628,0.7705627705627706
2948,RandomForest,Training,0.7875,0.9056249999999999
2948,RandomForest,Test,0.5813953488372093,0.6893939393939394
2948,GradientBoosting,Training,1.0,1.0
2948,GradientBoosting,Test,0.5813953488372093,0.6385281385281385
2948,SVC,Training,0.7,0.7234375000000001
2948,SVC,Test,0.6976744186046512,0.7705627705627706
2948,MLPClassifier,Training,0.6875,0.733125
2948,MLPClassifier,Test,0.6744186046511628,0.7597402597402597
480,LogisticRegression,Training,0.7125,0.795
480,LogisticRegression,Test,0.6086956521739131,0.7032136105860114
480,RandomForest,Training,0.8625,0.9450000000000001
480,RandomForest,Test,0.5652173913043478,0.6200378071833649
480,GradientBoosting,Training,0.775,0.8875
480,GradientBoosting,Test,0.6086956521739131,0.6483931947069943
480,SVC,Training,0.725,0.22375
480,SVC,Test,0.6304347826086957,0.32514177693761814
480,MLPClassifier,Training,0.75,0.8137500000000001
480,MLPClassifier,Test,0.6521739130434783,0.6748582230623819
75,LogisticRegression,Training,0.7125,0.766875
75,LogisticRegression,Test,0.7045454545454546,0.7371794871794872
75,RandomForest,Training,0.8375,0.9181250000000001
75,RandomForest,Test,0.6818181818181818,0.7286324786324786
75,GradientBoosting,Training,0.7625,0.8312499999999999
75,GradientBoosting,Test,0.6590909090909091,0.6816239316239316
75,SVC,Training,0.725,0.766875
75,SVC,Test,0.6818181818181818,0.7307692307692308
75,MLPClassifier,Training,0.725,0.78
75,MLPClassifier,Test,0.7045454545454546,0.7158119658119658
6258,LogisticRegression,Training,0.6625,0.7068749999999999
6258,LogisticRegression,Test,0.7391304347826086,0.7847619047619048
6258,RandomForest,Training,0.7625,0.86875
6258,RandomForest,Test,0.6739130434782609,0.7723809523809524
6258,GradientBoosting,Training,0.725,0.8421875000000001
6258,GradientBoosting,Test,0.6739130434782609,0.7228571428571429
6258,SVC,Training,0.6625,0.2925
6258,SVC,Test,0.717391304347826,0.21333333333333337
6258,MLPClassifier,Training,0.6625,0.713125
6258,MLPClassifier,Test,0.7391304347826086,0.7828571428571428
1381,LogisticRegression,Training,0.6625,0.760625
1381,LogisticRegression,Test,0.7333333333333333,0.728
1381,RandomForest,Training,0.85,0.8987499999999999
1381,RandomForest,Test,0.6666666666666666,0.6829999999999999
1381,GradientBoosting,Training,0.975,0.9981249999999999
1381,GradientBoosting,Test,0.5777777777777777,0.581
1381,SVC,Training,0.6875,0.240625
1381,SVC,Test,0.6888888888888889,0.308
1381,MLPClassifier,Training,0.7,0.764375
1381,MLPClassifier,Test,0.6888888888888889,0.724
8751,LogisticRegression,Training,0.75,0.8231250000000001
8751,LogisticRegression,Test,0.5952380952380952,0.6064814814814815
8751,RandomForest,Training,0.8375,0.9162499999999999
8751,RandomForest,Test,0.5952380952380952,0.5868055555555555
8751,GradientBoosting,Training,0.775,0.8775000000000001
8751,GradientBoosting,Test,0.5476190476190477,0.5740740740740741
8751,SVC,Training,0.725,0.8228125
8751,SVC,Test,0.5476190476190477,0.6099537037037037
8751,MLPClassifier,Training,0.725,0.8300000000000001
8751,MLPClassifier,Test,0.6190476190476191,0.6087962962962963
40,LogisticRegression,Training,0.675,0.7225
40,LogisticRegression,Test,0.7906976744186046,0.8266666666666667
40,RandomForest,Training,0.8,0.8849999999999999
40,RandomForest,Test,0.6976744186046512,0.7411111111111112
40,GradientBoosting,Training,0.725,0.8218749999999999
40,GradientBoosting,Test,0.7209302325581395,0.6811111111111111
40,SVC,Training,0.675,0.7200000000000001
40,SVC,Test,0.7906976744186046,0.8255555555555556
40,MLPClassifier,Training,0.6875,0.72375
40,MLPClassifier,Test,0.7674418604651163,0.8155555555555556
2833,LogisticRegression,Training,0.6875,0.726875
2833,LogisticRegression,Test,0.6842105263157895,0.8088642659279778
2833,RandomForest,Training,0.7875,0.90125
2833,RandomForest,Test,0.6842105263157895,0.709141274238227
2833,GradientBoosting,Training,0.925,0.9874999999999999
2833,GradientBoosting,Test,0.631578947368421,0.6606648199445984
2833,SVC,Training,0.6875,0.7256250000000001
2833,SVC,Test,0.7368421052631579,0.8033240997229917
2833,MLPClassifier,Training,0.6875,0.7250000000000001
2833,MLPClassifier,Test,0.6578947368421053,0.8005540166204986
2955,LogisticRegression,Training,0.6375,0.74125
2955,LogisticRegression,Test,0.6976744186046512,0.7785087719298246
2955,RandomForest,Training,1.0,1.0
2955,RandomForest,Test,0.627906976744186,0.7346491228070176
2955,GradientBoosting,Training,1.0,1.0
2955,GradientBoosting,Test,0.6511627906976745,0.743421052631579
2955,SVC,Training,0.6375,0.744375
2955,SVC,Test,0.6976744186046512,0.7785087719298246
2955,MLPClassifier,Training,0.725,0.779375
